,name,album,artist,release_date,length,popularity,acoustic,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Don't Panic,Parachutes,Coldplay,7/10/00,136866,64,0.206,0.602,0.612,0.00607,0.107,-8.409,0.0335,122.062,4
1,Shiver,Parachutes,Coldplay,7/10/00,304200,64,0.0334,0.396,0.803,0,0.0688,-6.186,0.0487,116.705,3
2,Spies,Parachutes,Coldplay,7/10/00,318773,56,0.0236,0.309,0.673,0.000144,0.0635,-5.524,0.0319,147.599,4
3,Sparks,Parachutes,Coldplay,7/10/00,227093,76,0.748,0.371,0.268,0.0517,0.104,-10.506,0.0281,102.617,3
4,Yellow,Parachutes,Coldplay,7/10/00,266773,84,0.00239,0.429,0.661,0.000121,0.234,-7.227,0.0281,173.372,4
5,Trouble,Parachutes,Coldplay,7/10/00,273426,70,0.189,0.565,0.546,0.0015,0.17,-7.496,0.0314,139.757,4
6,Parachutes,Parachutes,Coldplay,7/10/00,46200,57,0.871,0.555,0.0845,2.27E-06,0.138,-18.348,0.0518,137.001,4
7,High Speed,Parachutes,Coldplay,7/10/00,256466,60,0.396,0.495,0.525,0.00736,0.0961,-9.342,0.0301,154.466,4
8,We Never Change,Parachutes,Coldplay,7/10/00,249400,59,0.535,0.433,0.288,0.000169,0.105,-10.801,0.0296,136.939,3
9,Everything's Not Lost - Includes Hidden Track 'Life Is For Living',Parachutes,Coldplay,7/10/00,436440,55,0.104,0.374,0.456,0.000176,0.197,-7.35,0.0368,135.643,4
10,Politik,A Rush of Blood to the Head,Coldplay,8/8/02,318626,59,0.0364,0.262,0.482,0.000189,0.11,-7.75,0.0294,170.968,4
11,In My Place,A Rush of Blood to the Head,Coldplay,8/8/02,226680,69,0.0553,0.424,0.588,4.95E-06,0.298,-5.455,0.0278,144.636,4
12,God Put a Smile upon Your Face,A Rush of Blood to the Head,Coldplay,8/8/02,297306,60,0.175,0.611,0.556,7.14E-05,0.0359,-5.761,0.0288,126.532,4
13,The Scientist,A Rush of Blood to the Head,Coldplay,8/8/02,309600,81,0.731,0.557,0.442,1.46E-05,0.11,-7.224,0.0243,146.277,4
14,Clocks,A Rush of Blood to the Head,Coldplay,8/8/02,307879,75,0.599,0.577,0.749,0.0115,0.183,-7.215,0.0279,130.97,4
15,Daylight,A Rush of Blood to the Head,Coldplay,8/8/02,327800,51,0.00976,0.453,0.571,0.518,0.0846,-6.117,0.0314,132.787,4
16,Green Eyes,A Rush of Blood to the Head,Coldplay,8/8/02,223040,62,0.539,0.607,0.405,6.70E-06,0.231,-8.607,0.0265,129.543,4
17,Warning Sign,A Rush of Blood to the Head,Coldplay,8/8/02,331133,59,0.0942,0.532,0.433,0.0121,0.142,-9.423,0.0278,140.666,4
18,A Whisper,A Rush of Blood to the Head,Coldplay,8/8/02,238333,54,0.586,0.277,0.797,0.341,0.221,-5.66,0.0385,177.004,3
19,A Rush of Blood to the Head,A Rush of Blood to the Head,Coldplay,8/8/02,351400,56,0.156,0.525,0.472,4.39E-06,0.29,-8.018,0.0255,138.39,4
20,Amsterdam,A Rush of Blood to the Head,Coldplay,8/8/02,319360,54,0.836,0.269,0.176,0.0343,0.122,-10.463,0.0296,78.861,4
21,Square One,X&Y,Coldplay,6/7/05,287634,50,0.00674,0.451,0.679,0.00136,0.164,-6.884,0.0319,124.169,4
22,What If,X&Y,Coldplay,6/7/05,298519,54,0.313,0.304,0.502,0.0011,0.138,-6.707,0.035,136.779,4
23,White Shadows,X&Y,Coldplay,6/7/05,328219,50,0.00521,0.491,0.783,0.0361,0.0951,-8.997,0.0484,127.437,4
24,Fix You,X&Y,Coldplay,6/7/05,295533,79,0.164,0.209,0.417,0.00196,0.113,-8.74,0.0338,138.178,4
25,Talk,X&Y,Coldplay,6/7/05,311291,61,0.00541,0.415,0.554,0.00202,0.155,-10.839,0.0334,120.318,4
26,X&Y,X&Y,Coldplay,6/7/05,274175,54,0.563,0.225,0.561,0.00987,0.366,-6.813,0.0352,153.24,4
