,name,album,artist,release_date,length,popularity,acoustic,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Mylo Xyloto,Mylo Xyloto,Coldplay,10/24/11,42106,47,0.437,0.151,0.389,0.961,0.228,-12.798,0.038,100.707,1
1,Hurts Like Heaven,Mylo Xyloto,Coldplay,10/24/11,242253,54,0.01,0.418,0.773,0.00418,0.269,-6.187,0.0305,89.961,4
2,Paradise,Mylo Xyloto,Coldplay,10/24/11,278719,78,0.0509,0.449,0.585,8.75e-05,0.0833,-6.761,0.0268,139.631,4
3,Charlie Brown,Mylo Xyloto,Coldplay,10/24/11,285159,64,0.0212,0.43,0.74,0.00165,0.33,-7.072,0.0375,137.978,4
4,Us Against the World,Mylo Xyloto,Coldplay,10/24/11,239767,53,0.845,0.507,0.304,1.03e-05,0.0741,-11.096,0.0278,112.371,3
5,M.M.I.X.,Mylo Xyloto,Coldplay,10/24/11,48466,43,0.939,0.174,0.0613,0.867,0.095,-29.286,0.0538,126.857,3
6,Every Teardrop Is a Waterfall,Mylo Xyloto,Coldplay,10/24/11,240796,67,0.00194,0.425,0.732,0.0103,0.171,-6.883,0.0396,117.98,4
7,Major Minus,Mylo Xyloto,Coldplay,10/24/11,210324,46,0.000236,0.445,0.669,0.796,0.606,-5.232,0.0325,115.416,4
8,U.F.O.,Mylo Xyloto,Coldplay,10/24/11,137819,45,0.731,0.216,0.395,0.0167,0.338,-11.791,0.0361,83.697,3
9,Princess of China,Mylo Xyloto,Coldplay,10/24/11,239215,65,0.00385,0.42,0.69,0.015,0.287,-6.221,0.0347,85.014,4
10,Up in Flames,Mylo Xyloto,Coldplay,10/24/11,193240,47,0.235,0.641,0.244,0.0337,0.104,-11.051,0.0301,76.006,4
11,A Hopeful Transmission,Mylo Xyloto,Coldplay,10/24/11,33000,42,0.103,0.441,0.26,0.878,0.816,-20.424,0.0352,116.949,4
12,Don't Let It Break Your Heart,Mylo Xyloto,Coldplay,10/24/11,234106,48,0.000561,0.41,0.751,0.0571,0.169,-7.903,0.0465,140.047,4
13,Up with the Birds,Mylo Xyloto,Coldplay,10/24/11,225653,45,0.714,0.365,0.483,0.00463,0.363,-7.876,0.035,120.039,4
