,name,album,artist,release_date,length,popularity,acoustic,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Life in Technicolor,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,149133,34,0.0102,0.288,0.662,0.944,0.498,-10.482,0.0347,131.056,4
1,Cemeteries of London,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,201106,32,0.0054,0.437,0.806,0.00822,0.1,-7.693,0.0353,109.109,3
2,Lost!,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,236213,35,0.0057,0.359,0.779,0.837,0.379,-7.52,0.0412,86.951,4
3,42,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,237400,32,0.221,0.309,0.636,0.00281,0.102,-7.202,0.0344,141.382,4
4,Lovers in Japan,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,411013,35,0.0427,0.202,0.733,0.696,0.243,-7.599,0.0446,118.217,4
5,Yes,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,426653,31,0.00884,0.162,0.807,0.358,0.187,-6.277,0.0538,161.577,4
6,Viva La Vida,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,242373,46,0.0954,0.486,0.617,3.23e-06,0.109,-7.115,0.0287,138.015,4
7,Violet Hill,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,222653,36,0.0614,0.33,0.58,0.00129,0.115,-7.875,0.0374,76.093,4
8,Strawberry Swing,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,249666,38,0.00722,0.378,0.663,0.797,0.191,-10.476,0.0458,173.136,4
9,Death and All His Friends,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,378853,34,0.695,0.218,0.296,0.727,0.164,-10.61,0.0312,129.93,4
10,Life in Technicolor ii,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,245099,44,0.00158,0.472,0.909,5.16e-05,0.248,-7.073,0.0391,131.051,4
11,Postcards from Far Away,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,48128,40,0.99,0.46,0.164,0.953,0.146,-19.387,0.048,126.704,4
12,Glass of Water,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,284905,35,0.000433,0.152,0.695,0.0618,0.334,-8.299,0.0318,157.167,4
13,Rainy Day,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,206002,31,0.0765,0.375,0.677,0.00271,0.126,-6.964,0.0292,137.994,4
14,Prospekt's March / Poppyfields,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,219231,32,0.401,0.285,0.279,0.00428,0.193,-11.992,0.0292,146.4,4
15,Lost+ (with Jay-Z),Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,256908,35,0.0081,0.257,0.805,0.494,0.357,-7.025,0.0559,175.251,4
16,Lovers in Japan - Osaka Sun Mix,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,238240,33,0.00263,0.402,0.941,0.394,0.298,-6.035,0.075,111.982,4
17,Now My Feet Won't Touch the Ground,Viva La Vida (Prospekt's March Edition),Coldplay,11/24/08,147521,33,0.817,0.494,0.255,0.853,0.0819,-13.797,0.0305,123.502,4
