,name,album,release_date,length,popularity,acoustic,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Yellow,Parachutes,7/10/00,266773,84,0.00239,0.429,0.661,0.000121,0.234,-7.227,0.0281,173.372,4
1,The Scientist,A Rush of Blood to the Head,8/8/02,309600,81,0.731,0.557,0.442,1.46e-05,0.11,-7.224,0.0243,146.277,4
2,Fix You,X&Y,6/7/05,295533,79,0.164,0.209,0.417,0.00196,0.113,-8.74,0.0338,138.178,4
3,Hymn for the Weekend,A Head Full of Dreams,12/4/15,258266,79,0.211,0.491,0.693,6.92e-06,0.325,-6.487,0.0377,90.027,4
4,Viva La Vida,Viva La Vida or Death and All His Friends,5/26/08,242373,78,0.0954,0.486,0.617,3.23e-06,0.109,-7.115,0.0287,138.015,4
5,Paradise,Mylo Xyloto,10/24/11,278719,78,0.0509,0.449,0.585,8.75e-05,0.0833,-6.761,0.0268,139.631,4
6,Sparks,Parachutes,7/10/00,227093,76,0.748,0.371,0.268,0.0517,0.104,-10.506,0.0281,102.617,3
7,A Sky Full of Stars,Ghost Stories,5/19/14,267866,76,0.00617,0.545,0.675,0.00197,0.209,-6.474,0.0279,124.97,4
8,Clocks,A Rush of Blood to the Head,8/8/02,307879,75,0.599,0.577,0.749,0.0115,0.183,-7.215,0.0279,130.97,4
9,Adventure of a Lifetime,A Head Full of Dreams,12/4/15,263786,74,0.00205,0.638,0.924,0.000175,0.149,-3.887,0.036,111.995,4
