,name,album,artist,release_date,length,popularity,acoustic,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Life in Technicolor,Viva La Vida or Death and All His Friends,Coldplay,5/26/08,149133,47,0.0102,0.288,0.662,0.944,0.498,-10.482,0.0347,131.056,4
1,Cemeteries of London,Viva La Vida or Death and All His Friends,Coldplay,5/26/08,201106,46,0.0054,0.437,0.806,0.00822,0.1,-7.693,0.0353,109.109,3
2,Lost!,Viva La Vida or Death and All His Friends,Coldplay,5/26/08,236213,52,0.0057,0.359,0.779,0.837,0.379,-7.52,0.0412,86.951,4
3,42,Viva La Vida or Death and All His Friends,Coldplay,5/26/08,237400,46,0.221,0.309,0.636,0.00281,0.102,-7.202,0.0344,141.382,4
4,Lovers in Japan,Viva La Vida or Death and All His Friends,Coldplay,5/26/08,411013,49,0.0427,0.202,0.733,0.696,0.243,-7.599,0.0446,118.217,4
5,Yes,Viva La Vida or Death and All His Friends,Coldplay,5/26/08,426653,43,0.00884,0.162,0.807,0.358,0.187,-6.277,0.0538,161.577,4
6,Viva La Vida,Viva La Vida or Death and All His Friends,Coldplay,5/26/08,242373,78,0.0954,0.486,0.617,3.23e-06,0.109,-7.115,0.0287,138.015,4
7,Violet Hill,Viva La Vida or Death and All His Friends,Coldplay,5/26/08,222653,60,0.0614,0.33,0.58,0.00129,0.115,-7.875,0.0374,76.093,4
8,Strawberry Swing,Viva La Vida or Death and All His Friends,Coldplay,5/26/08,249666,54,0.00722,0.378,0.663,0.797,0.191,-10.476,0.0458,173.136,4
9,Death and All His Friends,Viva La Vida or Death and All His Friends,Coldplay,5/26/08,378853,47,0.695,0.218,0.296,0.727,0.164,-10.61,0.0312,129.93,4
