,name,album,artist,release_date,length,popularity,acoustic,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Square One,X&Y,Coldplay,6/7/05,287634,50,0.00674,0.451,0.679,0.00136,0.164,-6.884,0.0319,124.169,4
1,What If,X&Y,Coldplay,6/7/05,298519,54,0.313,0.304,0.502,0.0011,0.138,-6.707,0.035,136.779,4
2,White Shadows,X&Y,Coldplay,6/7/05,328219,50,0.00521,0.491,0.783,0.0361,0.0951,-8.997,0.0484,127.437,4
3,Fix You,X&Y,Coldplay,6/7/05,295533,79,0.164,0.209,0.417,0.00196,0.113,-8.74,0.0338,138.178,4
4,Talk,X&Y,Coldplay,6/7/05,311291,61,0.00541,0.415,0.554,0.00202,0.155,-10.839,0.0334,120.318,4
5,X&Y,X&Y,Coldplay,6/7/05,274175,54,0.563,0.225,0.561,0.00987,0.366,-6.813,0.0352,153.24,4
6,Speed of Sound,X&Y,Coldplay,6/7/05,287906,67,0.00488,0.514,0.898,0.0345,0.0746,-6.765,0.0577,123.067,4
7,A Message,X&Y,Coldplay,6/7/05,285345,59,0.327,0.566,0.459,0.000253,0.202,-9.488,0.0289,116.916,4
8,Low,X&Y,Coldplay,6/7/05,332104,50,0.0224,0.466,0.882,0.0264,0.342,-8.962,0.0442,132.086,4
9,The Hardest Part,X&Y,Coldplay,6/7/05,262880,60,0.0228,0.5,0.844,0.00398,0.455,-5.883,0.0368,123.721,4
10,Swallowed in the Sea,X&Y,Coldplay,6/7/05,239001,51,0.0557,0.265,0.378,1.29e-06,0.119,-10.823,0.0316,142.1,4
11,Twisted Logic,X&Y,Coldplay,6/7/05,271860,46,0.0267,0.194,0.464,0.0736,0.314,-6.895,0.0322,160.359,3
12,Til Kingdom Come,X&Y,Coldplay,6/7/05,250668,57,0.61,0.607,0.395,0.00768,0.33,-9.593,0.0287,115.068,4
